date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:11	12052/12052	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:42%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/vi.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/vi.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:12	559/559	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:56%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/vn.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/vn.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:12	570/570	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:42%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/vn.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/vn.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:12	5838/5838	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:56%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/vu.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/vu.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:13	5801/5801	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:40%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/vu.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/vu.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:13	317/317	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:56%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/wf.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/wf.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:13	305/305	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:40%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/wf.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/wf.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:14	887/887	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:56%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/ws.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/ws.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:14	864/864	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:43:40%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/ws.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/1x1/ws.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
11:29:14	294/294	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Nov%202020%2018:44:56%20GMT	https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/ye.svg	C:/Users/User/Downloads/sign%20up/www.masta.com.mx/Diseno_brandcheck/horizontal/assets/flags/4x3/ye.svg	(from https://www.masta.com.mx/Diseno_brandcheck/horizontal/assets/css/icons.css)
